"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"151","WeCom (WeChat Work) for Jira Service Management","com.shdsd.plugin.weChatWork","DragonSoft","26","5065","8","4.53125","2025-12-11T11:39:12.686Z","2025-10-29","false","5000","15000","18000","WeCom (WeChat Work) Connector for Jira Service Management","https://marketplace.atlassian.com/apps/1223240/wecom-wechat-work-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"152","ReceiveMe! - Email handler for Jira","com.atsistemas.jira.addons.receive-me","knowmad mood","26","5327","6","4.375","2025-12-11T11:40:18.892Z","2024-12-18","false","300","950","1300","Powerful and customizable email handler for Jira","https://marketplace.atlassian.com/apps/1215842/receiveme-email-handler-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"153","TraceabilityX for Jira","es.excentia.jira.plugins.jira-traceabilityx-plugin","excentia","25","9831","18","4.3055553","2026-01-13T10:27:41.261Z","2026-01-13","false","100","600","1000","Trace your issues types to discover your traceability matrix","https://marketplace.atlassian.com/apps/1211138/traceabilityx-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"154","User Picker Avatar for Jira","com.itlab.jira.plugins.user-picker-avatar","it.Lab","25","5409","2","5","2025-12-11T11:37:44.560Z","2025-08-14","false","80","110","150","Avatars for User Picker Custom Fields","https://marketplace.atlassian.com/apps/1217698/user-picker-avatar-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"155","Status Colors for Jira","com.itlab.jira.plugins.status-colors","it.Lab","25","3186","1","5","2025-12-11T11:17:27.685Z","2025-09-06","false","65","500","880","Change the status colors and patterns to effectively manage application","https://marketplace.atlassian.com/apps/1231693/status-colors-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"156","Vivid Trace for Jira","vivid.trace","Vivid Inc.","24","7385","8","4.53125","2025-12-23T01:12:41.004Z","2025-12-23","false","4096","10923","21066","Equip your project leaders, delivery managers, and Scrum masters with precision tools for radically better dependency mapping","https://marketplace.atlassian.com/apps/1212548/vivid-trace-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"157","Power Dashboards, Reports & Gadgets","com.cprime.jira.plugins.reporting","Appfire","24","8877","2","5","2026-03-30T10:15:16.243Z","2026-03-30","false","300","3250","7000","Perform complex calculations, reporting visualizations, pre-built reports. Create reports using HTML, CSS and JavaScript","https://marketplace.atlassian.com/apps/1221097/power-dashboards-reports-gadgets?tab=overview","unknown","unknown","unknown","unknown","unknown"
"158","SQL Reporter for Jira","com.akelesconsulting.jira.plugins.SQLReporter","Akeles Consulting","24","4893","2","5","2025-12-11T11:58:28.725Z","2025-08-21","false","200","800","1400","Generate reports using SQL queries","https://marketplace.atlassian.com/apps/1217627/sql-reporter-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"159","Satisfaction survey for Jira by Ovyka","com.ovyka.jira.satisfaction","Ovyka","24","5217","3","4.1666665","2025-12-11T12:02:51.998Z","2025-07-09","false","344","840","2400","Discover how to optimize your service levels continuously from adapted customer feedback","https://marketplace.atlassian.com/apps/1215527/satisfaction-survey-for-jira-by-ovyka?tab=overview","unknown","unknown","unknown","unknown","unknown"
"160","SCIM User Provisioning for Jira","com.luxplugins.jira.plugin.scim-user-provisioning","LuxPlugins","24","5593","1","5","2026-01-06T15:24:43.128Z","2026-01-06","false","10","250","900","SCIM, Create/update/disable/enable users, adding/removing users to/from groups, user sync, group sync, user provisioning","https://marketplace.atlassian.com/apps/1219723/scim-user-provisioning-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"161","NotifyMe! - Send emails from Jira issues","com.atsistemas.jira.addons.notify-me","knowmad mood","23","5100","5","5","2025-12-11T11:00:19.180Z","2025-01-14","false","200","600","800","Send custom messages to any email address from Jira issues","https://marketplace.atlassian.com/apps/1215848/notifyme-send-emails-from-jira-issues?tab=overview","unknown","unknown","unknown","unknown","unknown"
"162","GDPR for Service Management","net.veniture.jsd.gdpr.JSDPR","DC Factory","23","7054","5","4.25","2026-06-17T22:00:10.679Z","2026-06-17","false","4100","22700","54200","Complying with GDPR (DSGVO) requirements for Jira SM e.g. Account Deletion, User Anonymisation, Privacy Policy Changes","https://marketplace.atlassian.com/apps/1219079/gdpr-for-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"163","Bulk User Creator for Jira","uk.co.commercecomputing.users","Commerce Computing Limited","23","5707","6","2.7083333","2025-12-11T12:00:54.467Z","2024-08-28","false","55","165","220","Create multiple Jira users from a CSV file in just a few simple steps","https://marketplace.atlassian.com/apps/1213066/bulk-user-creator-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"164","Portal Styler for JSM","de.accxia.apps.jira.enhancedportal.PortalStyler","Accxia","23","4335","0","0","2025-12-11T11:26:12.632Z","2025-04-29","false","575","1750","3000","Style it your own","https://marketplace.atlassian.com/apps/1220685/portal-styler-for-jsm?tab=overview","unknown","unknown","unknown","unknown","unknown"
